Organisationsid;Organisationsnummer;Organisationstyp;Giltighetstid;Kortnamn (sv);Kortnamn (en);Långnamn (sv);Långnamn (en);Webbadress
OD-662-2;013752;Avdelning;2025-01-01 - ;Tillämpad IT, avd Informatik;Dept. of Applied IT, div Informatics;Institutionen för tillämpad IT, avd Informatik;Department of Applied IT, div Informatics;https://www.gu.se/tillampad-informationsteknologi/om-oss/avdelningar#informatik
OD-662-3;013753;Avdelning;2025-01-01 - ;Tillämpad IT, avd KLIK;Dept. of Applied IT, div CLIC;Institutionen för tillämpad IT, avd KLIK;Department of Applied IT, div CLIC;https://www.gu.se/tillampad-informationsteknologi/om-oss/avdelningar#kognitionsvetenskap-informationsteknologi-och-larande-interaktionsdesign-kommunikation
OD-1-301;013909;Enhet;1998-01-01 - ;Naturvetenskap och teknik, styrelse;Science and Technology, board;Fakultetsstyrelsen för naturvetenskap och teknik;Faculty Board of Science and Technology;www.science.gu.se
OD-1-302;013950;Enhet;1998-01-01 - ;Fak.kansli naturvetenskap och teknik;Faculty Office Science Technology;Fakultetskansliet för naturvetenskap och teknik;Faculty Office of Science and Technology;www.science.gu.se
OD-1-303;02;Fakultet;1998-01-01 - ;Samhällsvetenskapliga fakultetsnämnd;Faculty of Social Sciences;Samhällsvetenskapliga fakulteten;Faculty of Social Sciences;www.samfak.gu.se
OD-1-304;022000;Enhet;1998-03-01 - ;Samhällsvetenskapliga fakultetsnämnd;Faculty of Social Sciences;Samhällsvetenskapliga fakultetsstyrelsen;Faculty Board of Social Sciences;www.samfak.gu.se
OD-1-305;022001;Enhet;1998-01-01 - ;Fakultetskansli f samhällsvetenskap;Facult of Social Sciences;Samhällsvetenskapliga fakultetskansliet;Faculty Office of Social Sciences;www.samfak.gu.se
OD-1-127;022080;Institution;2005-07-01 - ;Inst för globala studier;School of Global Studies;Institutionen för globala studier;School of Global Studies;www.globalstudies.gu.se
OD-1-311;022420;Institution;1998-01-01 - ;Förvaltningshögskolan;School of Public Administration;Förvaltningshögskolan;School of Public Administration;www.spa.gu.se
OD-1-312;022430;Institution;1998-01-01 - ;Inst f journalistik medier o komm;Journalism Media and Communication;Institutionen för journalistik, medier och kommunikation JMG;Journalism Media and Communication JMG;www.jmg.gu.se
OD-1-742;022090;Avdelning;2011-01-01 - ;SOM-institutet;SOM Institute;SOM-institutet;SOM Institute;
OD-1-313;022440;Institution;1998-01-01 - ;Psykologiska institutionen;Dept of Psychology;Psykologiska institutionen;Department of Psychology;www.psy.gu.se
OD-1-314;022470;Institution;1998-01-01 - ;Inst f socialt arbete;Dept of Socialt Work;Institutionen för socialt arbete;Department of Social Work;https://www.gu.se/socialtarbete
OD-1-315;022480;Institution;1998-01-01 - ;Inst f sociologi och arbetsvetenskap;Dept of Sociology;Institutionen för sociologi och arbetsvetenskap;Department of Sociology and Work Science;www.socav.gu.se
OD-1-316;022490;Institution;1998-01-01 - ;Statsvetenskapliga institutionen;Dept of Political Science;Statsvetenskapliga institutionen;Department of Political Science;www.pol.gu.se
OD-1-317;03;Fakultet;1998-01-01 - ;Sahlgrenska akademin;Sahlgrenska Academy;Sahlgrenska akademin;Sahlgrenska Academy at University of Gothenburg;www.sahlgrenska.gu.se
OD-1-79;035000;Enhet;2006-01-01 - ;Sahlgrenska akademin, gemensamt;Sahlgrenska Academy;Sahlgrenska akademin, Gemensamt;Sahlgrenska Academy at University of Gothenburg;www.sahlgrenska.gu.se
OD-1-129;035001;Enhet;2006-01-01 - ;Sahlgrenska akademins kansli;Sahlgrenska Academy Office;Sahlgrenska akademins kansli;Sahlgrenska Academy Office;www.sahlgrenska.gu.se
OD-1-132;035100;Institution;2006-01-01 - ;Inst f odontologi;Institute of Odontology;Institutionen för odontologi;Institute of Odontology;www.odontology.gu.se
OD-1-466;035110;Avdelning;2007-01-01 - ;Odontologi, sektion 1;Odontology Section 1;Sektion 1 - odontologi;Odontology Section 1;
OD-1-467;035120;Avdelning;2007-01-01 - ;Odontologi, sektion 2;Odontology Section 2;Sektion 2 - odontologi;Odontology Section 2;
OD-1-468;035130;Avdelning;2007-01-01 - ;Odontologi, sektion 3;Odontology Section 3;Sektion 3 - odontologi;Odontology Section 3;
OD-1-133;035200;Institution;2006-01-01 - ;Inst f vårdvetenskap o hälsa;Inst of Health and Care Sciences;Institutionen för vårdvetenskap och hälsa;Institute of Health and Care Sciences;www.caresci.gu.se
OD-203-1;035201;Avdelning;2019-05-01 - ;Vård vid långvariga tillstånd;Care in  Long-term Conditions;Vård vid långvariga tillstånd;Care in  Long-term Conditions;
OD-203-2;035202;Avdelning;2019-05-01 - ;Livssammanhang;Life Context;Livssammanhang och hälsofrämjande vård;The Life Context and Health Promotion;
